This text contains information about the new version of the program,informative
I want to order a new furniture system for the office,work
Discount on all products until the end of the week,advertising
I need to book a hotel for next week,personally
This message contains unwanted advertising,spam
We offer you to use our delivery,advertising
An important business meeting with a client will take place tomorrow,work
This e-mail contains confidential information,informative
What are your plans for the weekend,personal
You have received a new informational message from your friend,informative
We offer to buy two units of the product and get a discount,advertising
Happy birthday,personal
Please let me know when the working report will be ready,work
This spam message is a supporter of our raffle and got the opportunity to buy our products with a 50% discount! Visit our site to take advantage of the offer.,spam
This message contains important information about changes in the work schedule,work
You have little time left to complete this task,work
I suggest you meet next week at work,work
I need your help with this project,work
How do you feel about a new idea for an advertising campaign?,advertising
We offer you a special offer for these promotional products,advertising
New collections are in stock! Hurry up to place an order,advertising
Learn more about our services on our website,advertising
I really want to meet you in person,personal
Today is my birthday,personal
I am very worried about this situation,personally
Thank you for your support during these difficult times,personally
This e-mail contains information about changes in our company,informative
Details about our new product are available on our website,informative
I would like to tell you about a new service that we provide,informative
We invite you to subscribe to our newsletter to keep up to date with the latest news and information,informative
This is a spam message,spam
Congratulations! You just won the lottery,spam
This service guarantees you earnings without effort,spam
Buy our product now and get a discount from us,spam
This text contains spam,spam
Thank you for your request. We will contact you soon,work
You need to prepare for the next working meeting,work
If you find time you can talk on the phone at work,work
We have planned a corporate event for the next working month,work
Carefully review this information about our company,advertising
The most popular products for the last month are promotional products,advertising
New clients receive a discount on our advertising services,advertising
It has never been so easy to purchase our promotional products,advertising
I can't wait for our meeting this weekend,personally
I am currently on vacation in a warm country,personally
I will be glad to learn about your personal news,personally
Maybe we'll play golf this weekend?,personally
We remind you that the deadline for submitting the report is tomorrow,informative
We have released a new version of our informational software,informative
We are holding an informational promotion for our services until the end of the week,informative
From now on we work in a 24/7,informative
This is spam please ignore this message, spam
Have you already received our special offer?,spam
We found a way to earn money without large investments,spam
Get the most out of our offer,spam
We offer you a special course on web design,spam
Good day! We are pleased to inform you that your order has been successfully processed and shipped,work
Please do not forget to send the completed questionnaire by the end of the working week,work
A new section has appeared on our website with useful information,work
What time is suitable for you to hold the next meeting?,work
See what wonderful products you can buy in our store,advertising
Learn more about our services on our website,advertising
Try our new products and find what suits you best,advertising
Do not miss the opportunity to take advantage of our profitable promotions,advertising
How are you? It would be great to meet in person this weekend,personally
Congratulations on the upcoming birthday! I wish you all the best,personally
Let's meet soon and celebrate our personal success,personally
You are extremely talented and I would like to know more about your achievements,personally
We inform you that due to technical problems our services will be temporarily unavailable,informative
Our specialists are working on solving the problem and we will inform you as soon as everything is restored,informative
We are opening a new branch of our company in another city,informative
Learn more about our company and its history on our information website,informative
You have won a free subscription to our services! Just go to our site to claim your prize,spam
Congratulations! You received a bonus in the form of a credit to your account,spam
Your account has been hacked please contact our support service,spam
Buy our products and get a discount of up to 50% from our company,spam
Open a letter from our company and get a unique opportunity to receive a free consultation,spam
We invite you to a free informational marketing seminar from our company,informative
Our experts will share their experience with you and give useful and informative advice,informative
Congratulations on opening your new business! Find out how our services can help you make it successful,informative
To confirm your order please fill out the form on our working website,work
If you have any questions contact our support service,work
We appreciate your thoughts and suggestions please leave a review on our website,work
Thank you for purchasing our products please leave a review about them on our website,work
Would you like a free consultation with our expert? Fill out the form on our website, personal
We have a 20% discount on all promotional products,advertising
The new collection is already in our store,advertising
We need a programmer for full-time,work
We are looking for a sales manager,work
We invite you to our informative webinar on improving business efficiency,information
If you need help contact our support service,information
Check your account on our website,personal
Pay attention to the update of our application,personal
Happy Easter! All the best,personal
Get free delivery on orders over UAH 500,advertising
We invite you to a free informational cooking master class,information
We are recruiting specialists with knowledge of the English language,work
Hello! How are you,personal
Subscribe to our newsletter to keep up to date with the latest events and information,information
Sale of office space in the city center,advertising
We are looking for a developer for a project with artificial intelligence,work
Your order is ready for shipment,personal
We remind you about our promotion for the summer collection,advertising
Start training with us and get an additional discount,advertising
Please pay attention to the new information rules for using the site,information
We are looking for a manager with knowledge of the German language,working
Today is the last day of the sale hurry up,advertisers
We invite you to a conference on marketing,information
Buy our product with free shipping,advertising
Announcement: recruiting for free informational English language courses,information
Happy birthday,personal
We need a copywriter for part-time,work
Pay attention to our new,advertising
Important information: changes in the work schedule,informational
Your order has been cancelled,personal
We are looking for a driver for a permanent job,work
Join our loyalty club and receive bonuses,advertising
We inform you about the technical repair of our website,informational
Order food delivery online and get a discount,advertising
Today there will be a course on informational photography,informational
Congratulations on winning the competition,personal
We are looking for a programmer for a mobile application development project,work
New: we released a new line of cosmetics,advertising
We inform you about the change in the work schedule due to the holidays,informational
Your application has been accepted wait for our call,personal
We need a sales manager with work experience,work
Buy goods in the amount of 500 UAH and receive a gift,advertising
We are announcing a competition for the best photo of recreation,informational
We invite you to an informational art exhibition,informational
New: a new collection of clothes,advertising
Congratulations on the spring holiday and we offer discounts on flowers and advertising,advertising
We need a forwarder driver for permanent work,work
We inform you about the change of the address of the store,informational
Congratulations on our new store in your city,advertising
Your order is ready for shipment,personal
We need a courier with his own car,work
New: we released a new collection of perfumes,advertising
We invite you to a party on the occasion of the opening of our cafe,advertising
We are announcing an important software update,informational
Happy birthday and give a discount on any product,advertising
We need a full-time accountant,work
We remind you about the validity period of your season ticket,informational
Join our loyalty program and receive bonuses for every purchase,advertising
We congratulate you on the New Year and offer discounts on New Year's gifts and advertising,advertising
We inform you about the change in the work schedule due to the holidays,information
We need drivers for cargo transportation,work
We invite you to free informational cooking workshops,informational
We congratulate you on the Easter holiday and offer discounts on paschas and eggs,advertising
We offer work in the sales office,work
We inform you about the change in the phone number of the support and information service,informational
